,0
gait speed,0.853874057544418
grip dom,28.436364178481274
grip ndom,26.07880308937994
FI ADL,0.20268848442975199
FI IADL,0.06808106625950425
chair,11.535945600583949
leg raise,2.2808316018437944
full tandem,2.070456640118188
srh,0.4033145172962802
eye,0.31634668892617235
hear,0.4104753227242377
func,0.1959890102227365
dias,75.76050022511951
sys,137.76928908123554
pulse,68.42104803653973
trig,0.37934330777806136
crp,0.6397056535068669
hdl,1.5468664148351616
ldl,3.300098459399978
glucose,5.088684834123225
igf1,15.532489228875408
hgb,13.993261571582394
fib,3.1367892976588343
fer,4.446146012051472
chol,5.628634361233484
wbc,1.8281798715734687
mch,3.4043580473590187
hba1c,5.797039034540943
vitd,3.7576574207112743
height,165.24031088082796
bmi,27.781513821745225
alcohol,3.993257812248576
