,0
gait speed,0.28451581955254013
grip dom,11.308967992782993
grip ndom,10.5158958288211
FI ADL,0.26173694862441804
FI IADL,0.1567108755355969
chair,4.220377324322096
leg raise,0.8216907575280872
full tandem,0.7301471469371483
srh,0.27757305612048716
eye,0.20057904741917865
hear,0.2797723245182508
func,0.3391606567006017
dias,12.704728759608257
sys,20.270871864472632
pulse,11.285062475935565
trig,0.5011242623973755
crp,1.1353660719205658
hdl,0.44133941424915846
ldl,1.0527448115035516
glucose,0.9870697209153416
igf1,5.359427684922565
hgb,1.376591795175903
fib,0.6772104134106857
fer,0.8714029802805315
chol,1.2143968901349933
wbc,0.28649672659416975
mch,0.06373607798644096
hba1c,0.7658974456086358
vitd,0.5208039181223235
height,9.514865818908982
bmi,4.853978745570567
alcohol,2.3871628651492096
